Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.voltage_input,state.temperature_pcb,state.current_motor,state.current_input,state.speed,state.duty_cycle,state.charge_drawn,state.charge_regen,state.energy_drawn,state.energy_regen,state.displacement,state.distance_traveled,state.fault_code
1645707122.2040555,79142,1645707122,201503659,,0.0,0.0,-0.35,0.0,226.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,60
1645707122.2232468,79143,1645707122,220511759,,0.0,0.0,-0.37,0.0,228.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,93
1645707122.2430737,79144,1645707122,240550714,,0.0,0.0,-0.35,0.0,230.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,206
1645707122.2647557,79145,1645707122,262205116,,0.0,0.0,0.19,0.0,225.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,60
1645707122.2844145,79146,1645707122,281096963,,0.0,0.0,0.33,0.0,220.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,3
1645707122.3011463,79147,1645707122,300133767,,0.0,0.0,0.35,0.0,214.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,19
1645707122.3221478,79148,1645707122,320839456,,0.0,0.0,0.34,0.0,206.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,130
1645707122.3416421,79149,1645707122,340326137,,0.0,0.0,0.36,0.0,202.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,47
1645707122.363675,79150,1645707122,361453480,,0.0,0.0,0.33,0.0,197.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,237
1645707122.3815885,79151,1645707122,380411501,,0.0,0.0,0.34,0.0,196.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,241
1645707122.4040592,79152,1645707122,401099528,,0.0,0.0,0.35,0.0,199.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,61
1645707122.4223673,79153,1645707122,420364773,,0.0,0.0,-0.1,0.0,202.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,47
1645707122.4437356,79154,1645707122,440840901,,0.0,0.0,-0.35,0.0,209.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,118
1645707122.4631705,79155,1645707122,460982509,,0.0,0.0,-0.35,0.0,216.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,19
1645707122.4810462,79156,1645707122,480303433,,0.0,0.0,-0.36,0.0,225.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,110
1645707122.5017958,79157,1645707122,500308084,,0.0,0.0,-0.36,0.0,227.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,194
1645707122.5230188,79158,1645707122,520775092,,0.0,0.0,-0.35,0.0,230.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,46
1645707122.5433,79159,1645707122,541107127,,0.0,0.0,0.0,0.0,225.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,69
1645707122.56253,79160,1645707122,561130466,,0.0,0.0,0.35,0.0,220.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,32
1645707122.5839214,79161,1645707122,580965714,,0.0,0.0,0.35,0.0,215.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,105
1645707122.602604,79162,1645707122,600983037,,0.0,0.0,0.36,0.0,206.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,111
1645707122.6231315,79163,1645707122,620540691,,0.0,0.0,0.36,0.0,202.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,248
1645707122.6437044,79164,1645707122,641087313,,0.0,0.0,0.34,0.0,198.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,250
1645707122.662189,79165,1645707122,660334255,,0.0,0.0,0.34,0.0,195.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,46
