Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.voltage_input,state.temperature_pcb,state.current_motor,state.current_input,state.speed,state.duty_cycle,state.charge_drawn,state.charge_regen,state.energy_drawn,state.energy_regen,state.displacement,state.distance_traveled,state.fault_code
1645706650.4413633,55554,1645706650,440390927,,0.0,0.0,0.35,0.0,204.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,28
1645706650.4619486,55555,1645706650,460318615,,0.0,0.0,0.34,0.0,202.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,221
1645706650.4821951,55556,1645706650,480899730,,0.0,0.0,0.33,0.0,196.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,254
1645706650.5014684,55557,1645706650,500293188,,0.0,0.0,0.34,0.0,199.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,225
1645706650.5259414,55558,1645706650,522031530,,0.0,0.0,-0.02,0.0,201.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,216
1645706650.5445735,55559,1645706650,541198720,,0.0,0.0,-0.35,0.0,207.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,0
1645706650.5626402,55560,1645706650,561098184,,0.0,0.0,-0.36,0.0,215.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,71
1645706650.581847,55561,1645706650,580456154,,0.0,0.0,-0.36,0.0,224.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,184
1645706650.6036124,55562,1645706650,600667709,,0.0,0.0,-0.34,0.0,227.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,35
1645706650.621501,55563,1645706650,620316394,,0.0,0.0,-0.35,0.0,231.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,122
1645706650.6435738,55564,1645706650,641215071,,0.0,0.0,-0.14,0.0,228.0,0.0,8454144.0,2686976.0,0.0,0.0,0.0,34865152.0,196
1645706650.6614692,55565,1645706650,660337526,,0.0,0.0,0.36,0.0,224.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,87
1645706650.6852589,55566,1645706650,681602341,,0.0,0.0,0.34,0.0,218.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,64
1645706650.7015069,55567,1645706650,700253508,,0.0,0.0,0.34,0.0,210.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,37
1645706650.7230253,55568,1645706650,720523494,,0.0,0.0,0.34,0.0,204.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,70
1645706650.7419848,55569,1645706650,740358383,,0.0,0.0,0.34,0.0,202.0,0.0,8454144.0,2686976.0,0.0,0.0,0.0,34865152.0,166
1645706650.7643528,55570,1645706650,761127463,,0.0,0.0,0.35,0.0,196.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,117
1645706650.7823026,55571,1645706650,780519801,,0.0,0.0,0.34,0.0,199.0,0.0,8454144.0,2686976.0,0.0,0.0,0.0,34865152.0,83
1645706650.8048136,55572,1645706650,802824948,,0.0,0.0,0.02,0.0,201.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,161
1645706650.8222287,55573,1645706650,820356137,,0.0,0.0,-0.33,0.0,207.0,0.0,8454144.0,2686976.0,0.0,0.0,0.0,34865152.0,60
1645706650.8430119,55574,1645706650,840834502,,0.0,0.0,-0.35,0.0,215.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,213
1645706650.8632064,55575,1645706650,861109959,,0.0,0.0,-0.35,0.0,223.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,107
1645706650.885071,55576,1645706650,881587108,,0.0,0.0,-0.35,0.0,227.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,13
1645706650.9029171,55577,1645706650,900335906,,0.0,0.0,-0.36,0.0,230.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,107
1645706650.9272738,55578,1645706650,921761806,,0.0,0.0,-0.23,0.0,228.0,0.0,8454144.0,2686976.0,0.0,0.0,0.0,34865152.0,56
1645706650.9442105,55579,1645706650,940621706,,0.0,0.0,0.35,0.0,224.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,242
1645706650.9643762,55580,1645706650,963063522,,0.0,0.0,0.34,0.0,218.0,0.0,8454144.0,2686976.0,0.0,0.0,0.0,34865152.0,59
1645706650.981866,55581,1645706650,980846162,,0.0,0.0,0.35,0.0,210.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,246
1645706651.0026398,55582,1645706651,407233,,0.0,0.0,0.35,0.0,204.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,96
1645706651.021155,55583,1645706651,20340232,,0.0,0.0,0.33,0.0,202.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,4
1645706651.0451694,55584,1645706651,41965679,,0.0,0.0,0.35,0.0,196.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,120
1645706651.0614352,55585,1645706651,60413842,,0.0,0.0,0.34,0.0,199.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,102
1645706651.0848417,55586,1645706651,81116459,,0.0,0.0,0.06,0.0,200.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,2
1645706651.101904,55587,1645706651,100933172,,0.0,0.0,-0.32,0.0,207.0,0.0,8388608.0,2686976.0,0.0,0.0,0.0,34865152.0,227
1645706651.1236286,55588,1645706651,121473072,,0.0,0.0,-0.34,0.0,214.0,0.0,8323072.0,2686976.0,0.0,0.0,0.0,34865152.0,231
