Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.voltage_input,state.temperature_pcb,state.current_motor,state.current_input,state.speed,state.duty_cycle,state.charge_drawn,state.charge_regen,state.energy_drawn,state.energy_regen,state.displacement,state.distance_traveled,state.fault_code
1645707477.8834572,96926,1645707477,881504626,,0.0,0.0,0.36,0.0,201.0,0.0,8388608.0,9633792.0,0.0,0.0,0.0,122290176.0,149
1645707477.9015977,96927,1645707477,900341779,,0.0,0.0,0.35,0.0,197.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,181
1645707477.9240298,96928,1645707477,920830144,,0.0,0.0,0.35,0.0,194.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,165
1645707477.9422953,96929,1645707477,940717704,,0.0,0.0,0.35,0.0,198.0,0.0,8388608.0,9633792.0,0.0,0.0,0.0,122290176.0,23
1645707477.9632144,96930,1645707477,961144181,,0.0,0.0,-0.2,0.0,200.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,5
1645707477.9816086,96931,1645707477,980308888,,0.0,0.0,-0.34,0.0,207.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,239
1645707478.0021825,96932,1645707478,940966,,0.0,0.0,-0.33,0.0,215.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,99
1645707478.0227826,96933,1645707478,20458411,,0.0,0.0,-0.34,0.0,223.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,175
1645707478.043632,96934,1645707478,40803669,,0.0,0.0,-0.34,0.0,225.0,0.0,8388608.0,9633792.0,0.0,0.0,0.0,122290176.0,125
1645707478.062493,96935,1645707478,61407393,,0.0,0.0,-0.33,0.0,229.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,151
1645707478.083785,96936,1645707478,81111304,,0.0,0.0,0.0,0.0,225.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,125
1645707478.1028352,96937,1645707478,100407243,,0.0,0.0,0.34,0.0,221.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,254
1645707478.1230266,96938,1645707478,121250073,,0.0,0.0,0.33,0.0,215.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,17
1645707478.1418176,96939,1645707478,140503068,,0.0,0.0,0.34,0.0,207.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,192
1645707478.1618268,96940,1645707478,160381123,,0.0,0.0,0.34,0.0,203.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,206
1645707478.1839354,96941,1645707478,180726798,,0.0,0.0,0.35,0.0,199.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,8
1645707478.2064326,96942,1645707478,201398907,,0.0,0.0,0.35,0.0,195.0,0.0,8388608.0,9633792.0,0.0,0.0,0.0,122290176.0,163
1645707478.222251,96943,1645707478,221469763,,0.0,0.0,0.37,0.0,197.0,0.0,8388608.0,9633792.0,0.0,0.0,0.0,122290176.0,227
1645707478.2412083,96944,1645707478,240302115,,0.0,0.0,-0.08,0.0,199.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,51
1645707478.2626207,96945,1645707478,261101777,,0.0,0.0,-0.34,0.0,206.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,66
1645707478.2842405,96946,1645707478,281051449,,0.0,0.0,-0.34,0.0,214.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,102
1645707478.30227,96947,1645707478,300363068,,0.0,0.0,-0.35,0.0,222.0,0.0,8323072.0,9633792.0,0.0,0.0,0.0,122290176.0,19
1645707478.3229759,96948,1645707478,320517222,,0.0,0.0,-0.34,0.0,225.0,0.0,8388608.0,9633792.0,0.0,0.0,0.0,122290176.0,107
1645707478.3429146,96949,1645707478,340817104,,0.0,0.0,-0.36,0.0,229.0,0.0,8388608.0,9633792.0,0.0,0.0,0.0,122290176.0,193
